Node	Total SNPs	Num of SNPs inside recombinations	Num of SNPs outside recombinations	Num of Recombination Blocks	Bases in Recombinations	r/m	rho/theta	Genome Length	Bases in Clonal Frame
2682	327	303	24	5	99550	12.625000	0.208333	2209105	2116065
1731	0	0	0	0	93030	0.000000	0.000000	2210948	2117919
1788	10	0	10	0	0	0.000000	0.000000	2082971	2082971
3350	1	0	1	0	893	0.000000	0.000000	2217974	2217080
3355	2	0	2	0	893	0.000000	0.000000	2020188	2019294
1842	6	0	6	0	0	0.000000	0.000000	2108360	2108360
2097	54	46	8	4	9317	5.750000	0.500000	2216881	2216881
2098	21	0	21	0	0	0.000000	0.000000	2216816	2216816
1789	25	11	14	1	893	0.785714	0.071429	2099123	2099123
2699	3	0	3	0	0	0.000000	0.000000	2208229	2208229
3267	34	17	17	2	418	1.000000	0.117647	2211205	2211205
Node_1	0	0	0	0	0	0.000000	0.000000	2221315	2221315
Node_2	0	0	0	0	0	0.000000	0.000000	2218903	2218903
Node_3	1022	1010	12	10	93030	84.166664	0.833333	2213090	2213090
Node_4	9	0	9	0	0	0.000000	0.000000	2218096	2218096
Node_5	0	0	0	0	0	0.000000	0.000000	2220349	2220349
Node_6	0	0	0	0	0	0.000000	0.000000	2220300	2220300
Node_7	0	0	0	0	0	0.000000	0.000000	2219576	2219576
Node_8	7	0	7	0	0	0.000000	0.000000	2219162	2219162
Node_9	22	13	9	1	893	1.444444	0.111111	2218013	2218013
Node_10	2	0	2	0	0	0.000000	0.000000	2217270	2217270
